"Carimbo de data/hora","As respostas fornecidas serão mantidas em sigilo, conforme a disposição da Lei Geral de Proteção de Dados (LGPD). Com base nisso, você está de acordo com o uso das informações fornecidas para fins de pesquisa? ","Qual sua faixa etária?","Em qual cidade você reside atualmente?","Qual gênero você se identifica?","Com qual frequência você pratica esportes?","Qual(is) esporte(s) você pratica? ","Quais desses de eventos esportivos promovidos em sua cidade você já participou?","Você participa ou já participou de algum grupo, equipe ou projeto esportivo em sua cidade?","Quais dessas dificuldades você já enfrentou para encontrar pessoas para praticar esportes em grupo?","Como você encontrou o seu grupo esportivo local?","Qual(is) desses site(s) e/ou aplicativo(s) você utiliza para auxiliar na sua prática esportiva?","Que tipo de conteúdo/recursos você acredita que mais ajudaria na sua prática esportiva? ","Por qual motivo você não pratica esportes?"
"2025/08/07 8:31:37 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Futebol","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de divulgação de grupos ou eventos esportivos;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”;Moro perto","Não uso nenhum aplicativo","Agenda de eventos;Localização de eventos;A quadra mais próxima a você;Ranking ou gamificação",""
"2025/08/07 8:51:09 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","1 a 2 vezes por semana","Vôlei;Musculação","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Hevy;MyFitnessPal","Agenda de eventos;Grupos de prática esportiva",""
"2025/08/07 9:18:01 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Raramente","Futebol;Basquete;baseball ","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”","Não uso nenhum aplicativo","A quadra mais próxima a você",""
"2025/08/07 9:24:53 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","3 a 5 vezes por semana","Futebol;Musculação","Campeonatos escolares;Corridas de rua ou caminhadas;Eventos promovidos por academias ou clubes locais","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Nunca procurei por grupos para praticar esportes","Não participo de nenhum grupo","Hevy;GymRats","Agenda de eventos;Ranking ou gamificação;Notícias e dicas",""
"2025/08/07 9:37:04 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Todos os dias","Vôlei;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos","“Boca a boca”","Não uso nenhum aplicativo","Agenda de eventos;Localização de eventos;Grupos de prática esportiva;Mural de recados",""
"2025/08/07 10:16:30 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","3 a 5 vezes por semana","Musculação","Não participei, mas fiquei sabendo de alguns","Sim, em projeto social ou público de incentivo ao esporte","Horários incompatíveis com outras pessoas;Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Hevy;GymRats","Agenda de eventos;Grupos de prática esportiva;Notícias e dicas",""
"2025/08/12 6:19:33 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Raramente","Vôlei;Corrida","Campeonatos escolares;Corridas de rua ou caminhadas;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas","Falta de amigos ou conhecidos interessados em praticar esportes;Horários incompatíveis com outras pessoas;Insegurança ou receio de praticar com desconhecidos","Redes sociais;“Boca a boca”","Não uso nenhum aplicativo","Grupos de prática esportiva",""
"2025/08/16 12:29:25 PM GMT-3","Sim","14 – 18 anos","Jundiaí","Feminino","3 a 5 vezes por semana","Musculação;Natação ","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Horários incompatíveis com outras pessoas","Não participo de nenhum grupo","Não uso nenhum aplicativo","Notícias e dicas",""
"2025/08/19 4:40:25 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Raramente","Basquete;baseball","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura;Eventos promovidos por academias ou clubes locais","Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de locais apropriados ou próximos para a prática esportiva","Redes sociais;Site;“Boca a boca”;Não participo de nenhum grupo","Não uso nenhum aplicativo","Localização de eventos;A quadra mais próxima a você;Ranking ou gamificação",""
"2025/08/19 4:59:11 PM GMT-3","Sim","14 – 18 anos","Jarinu ","Feminino","Nunca","","","","","","","","Falta de motivação;Falta de companhia;Falta de um local esportivo"
"2025/08/19 6:16:02 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Todos os dias","Vôlei;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas","Insegurança ou receio de praticar com desconhecidos","“Boca a boca”","Não uso nenhum aplicativo","Agenda de eventos;Localização de eventos;A quadra mais próxima a você;Grupos de prática esportiva",""
"2025/08/19 6:26:06 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Feminino","1 a 2 vezes por semana","Vôlei;Musculação","Campeonatos escolares;Atividades esportivas em praças ou parques promovidas pela prefeitura","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de divulgação de grupos ou eventos esportivos","“Boca a boca”;Moro perto","Hevy;GymRats","Agenda de eventos;Localização de eventos;A quadra mais próxima a você;Grupos de prática esportiva;Ranking ou gamificação",""
"2025/08/19 10:27:47 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Musculação","Não participei e nunca soube de eventos do tipo","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”","Não uso nenhum aplicativo","Grupos de prática esportiva;Notícias e dicas",""
"2025/08/19 10:31:34 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Futebol;Musculação","Não participei, mas fiquei sabendo de alguns","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de divulgação de grupos ou eventos esportivos;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”;Moro perto","Não uso nenhum aplicativo","A quadra mais próxima a você;Grupos de prática esportiva;Notícias e dicas",""
"2025/08/19 10:34:30 PM GMT-3","Sim","19 – 24 anos","Várzea Paulista","Masculino","1 a 2 vezes por semana","Vôlei;Futebol;Basquete;Handebol","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC)","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de divulgação de grupos ou eventos esportivos","“Boca a boca”;Moro perto","Não uso nenhum aplicativo","A quadra mais próxima a você;Grupos de prática esportiva;Mural de recados",""
"2025/08/19 10:55:02 PM GMT-3","Sim","19 – 24 anos","Campo Limpo Paulista","Masculino","1 a 2 vezes por semana","Vôlei;Futebol;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”","Não uso nenhum aplicativo","Agenda de eventos;A quadra mais próxima a você;Grupos de prática esportiva",""
"2025/08/19 11:03:20 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Feminino","1 a 2 vezes por semana","Vôlei;Futebol;Basquete","Campeonatos escolares","Sim, em equipe escolar (escola ou ETEC);Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Não uso nenhum aplicativo","Grupos de prática esportiva;Notícias e dicas",""
"2025/08/19 11:09:11 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Futebol;Basquete;Musculação","Campeonatos escolares;Eventos promovidos por academias ou clubes locais","Sim, em equipe escolar (escola ou ETEC);Sim, em academia ou centro esportivo privado","Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos","Redes sociais;“Boca a boca”","Hevy","Grupos de prática esportiva;Notícias e dicas",""
"2025/08/19 11:13:59 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","1 a 2 vezes por semana","Futebol","Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas","Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos","Redes sociais;Moro perto","Não uso nenhum aplicativo","Grupos de prática esportiva",""
"2025/08/19 11:18:10 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Corrida","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Nunca procurei por grupos para praticar esportes","Não participo de nenhum grupo","Hevy","A quadra mais próxima a você;Notícias e dicas",""
"2025/08/19 11:20:24 PM GMT-3","Sim","19 – 24 anos","Várzea Paulista","Feminino","1 a 2 vezes por semana","Musculação","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Falta de amigos ou conhecidos interessados em praticar esportes;Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Hevy","A quadra mais próxima a você;Grupos de prática esportiva;Notícias e dicas",""
"2025/08/19 11:21:09 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Nunca","","","","","","","","Falta de companhia"
"2025/08/19 11:22:53 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Nunca","","","","","","","","Falta de motivação;Falta de companhia"
"2025/08/19 11:26:21 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Todos os dias","Vôlei;Futebol;Basquete","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas","Horários incompatíveis com outras pessoas;Falta de divulgação de grupos ou eventos esportivos","“Boca a boca”","Não uso nenhum aplicativo","A quadra mais próxima a você;Grupos de prática esportiva",""
"2025/08/19 11:30:02 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Musculação","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Falta de divulgação de grupos ou eventos esportivos","Não participo de nenhum grupo","Não uso nenhum aplicativo","Grupos de prática esportiva",""
"2025/08/19 11:33:04 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","3 a 5 vezes por semana","Futebol;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas","Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Não uso nenhum aplicativo","Agenda de eventos;A quadra mais próxima a você",""
"2025/08/19 11:33:29 PM GMT-3","Sim","19 – 24 anos","Várzea Paulista","Feminino","Nunca","","","","","","","","Falta de motivação;Falta de companhia"
"2025/08/20 6:06:12 AM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","3 a 5 vezes por semana","Futebol;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura;Eventos promovidos por academias ou clubes locais","Sim, em time de bairro ou comunidade;Sim, em projeto social ou público de incentivo ao esporte","Insegurança ou receio de praticar com desconhecidos","“Boca a boca”","Hevy","Localização de eventos;Grupos de prática esportiva;Notícias e dicas",""